Title,Report
Suspected Agave Poisoning in Cattle,"We have had two cases of suspected Agave americana poisoning recently.
Peter Gough, private practitioner at Moree, rang the lab in August to discuss suspected Agave toxicity in
cattle on a property at Bellata. Four out of 13 Hereford cows in a particular paddock were first affected in
July. There was little feed and the cattle had clearly spent some time eating an Agave plant in the paddock.
Peter describes the hind limbs as being affected, the appearance being not unlike that of obturator paralysis
in 3 post-partum cow. The feet are flat on the ground but the pastern and the fetlock are further forward
15.
than normal. Of the 4 affected cows, two have completely recovered, one still walks with an abnormal hind
limb gait and the fourth is still down. This fourth cow is quite bright in demeanour, has no pressure sores,
and can half raise herself from the ground using her forelegs.
The second case occurred early in September and was investigated by Barraba veterinarian Lee Morris and
handled by Bob Coverdale at the lab (AN94.3452.ORC). Five to ten out of 23 Hereford cows on a Barraba
property were affected. There was no green feed available and some obviously had been eating Agave. Lee
describes the affected animals as being bright and walking on the hind toes with contracted fetlocks. Urine
was submitted from one animal and blood from three. Urinalysis and the haemograms were unremarkable.
Ca, Mg, P, creatinine, AST, CPK, GLDH, and AP estimates were done on the 3 serums. CPK’s were 1322,
271 and 916 (reference range: <200 U/L). Other analytes were unremarkable apart from marginally
elevated AST and GLDH in the animal with a CK of 916 U/L.
Everist tells us that the Avavaceae family has more than 650 species, mostly tropical or subtropical in
origin. One species of Agave has been reported as poisonous to livestock in North America (presumably A.
lechequilla, referred to by the Merck Veterinary Manual (MVM)) but this plant is not known to occur in
Australia. Several species are common garden plants in this country and two (Agave Americana, Century
Plant, and A. sisalina, Sisal) are semi-naturalised, the first in tropical and subtropical inland areas, and the
second in coastal central Queensland (Everist 1981).
According to Everist there is no positive evidence of toxicity for either A. americana or A. sisalina apart
from reports of persistently painful skin wounds in people caused by the leaf tips. Blood and Studdert
(1988) state that A. americana contains a toxic saponin and can cause poisoning. Regarding A. lechequilla ,
they say it contains an exogenous photodynamic agent and causes dermatitis but without signs of liver
damage. The MVM records A. lechequilla as containing an unidentified hepatotoxin (causing
photosensitivity) and a toxic saponin with an abortifacient action. (Camp et al (1988) state that the toxin has
been identified as a steroidal saponin, similar to those identified in Panicum spp, and responsible for
hepatogenous photosensitisation). Sheep, cattle and goats are affected, usually during drought. The course
is subacute with signs such as listlessness, inappetance, icterus, yellow oculonasal discharge,
photosensitisation, coma and death occurring.
Ross McKenzie (Principal Veterinary Pathologist, Animal Health Laboratories, DPI, Yeerongpilly, Qld.
advises us that he has one case of suspected A. americana on file. This involved 7 out of 100 cattle ""on the
road"" at Roma during a drought in December 1991. Stiffness, abnormal gait and tucking of the hindlegs
under the body were observed. All affected animals recovered. Clinical pathology revealed markedly
elevated CK and AST. Ross adds that Steyne (1950) produced paralysis of the hindquarters in a rabbit with
100ml of A. americana juice twice daily for 3 days. After no improvement on day 6, the rabbit was killed
and necropsied, the findings being gastric hyperaemia and a pale liver, Ross McKenzie further informs us
that Watt and Breyer-Brandwijk (1962) make reference to Steyne producing bloat, cyanosis, dyspnoea and
tachycardia in sheep using A. americana. Leaf extracts are apparently used in folk medicine in Africa as
purgatives and diuretics.
It appears likely then that, when consumed in sufficient quantities, Agave americana can cause poisoning in
cattle and other animals, this toxicity presumably manifesting itself as a myopathy and mainly affecting the
hindlimbs. Most cases seem to recover."
Calves with Spongy Brains,"Shaun Slatterv, District Veterinarian at Narrabri, investigated an interesting nervous syndrome in week old
“dairy” calves at Pilliga. The cattle are a mixture of Jersey and Guernsey with a fair degree of “line”
breeding. Over the last 3 years the owner has had a dozen out of 40 or so calves die from a nervous
syndrome. Cases occur in winter-spring. Calves are usually 7-10 days when first showing nervous signs
and die usually within 2-4 days. Signs include proprioceptive defects with forelimb hypermetria (""goose-
stepping"") and constant head nodding. Withdrawal (front and back legs) and menace reflexes were absent; a
patella reflex was present.
Haematology and biochemistry (AM94.2463.BV 24.6.94) was unremarkable apart from indications of
dehydration. (Although able to suck, the ataxia and head nodding made this well nigh impossible). The
blood was negative for pestivirus antigen and antibody.
The calf deteriorated and was necropsied. Bochemistry and haematology results (AN94.2505.SL 28.6.94)
were similar to those of a few days earlier. Analysis of the blood indicated the animal was homozygous
normal for maple syrup urine disease. Histologically, severe spongiform changes were evident in the brain
and spinal cord (AN94.2505.SL. We sent histoslides to Dr. Peter Harper, neuropathologist of note and
currently Senior Field Veterinary Officer for NSW Agriculture at Grafton. Peter commented that the
oedematous CNS lesions were among the most widespread he has observed, with severe spongy changes in
both the myelinated areas and in the cerebrocortical grey matter.
Investigations are continuing."
Cholera in turkeys,"A turkey farm in the Tamworth district suffered heavy losses from cholera in August. At the time birds
were submitted to the lab, approximately 10 a day were getting sick and dying in a group of 500 near
marketable birds (22-23 weeks of age). The birds receive a cholera vaccine at 12 and 16 weeks. However,
this vaccine has not been changed for 10 years and the strain of P. multocida isolated at the lab from cases
of cholera in May was not represented in the vaccine. Deaths start about 2 weeks after antimicrobials are
withdrawn from the feed.
Necropsy and histological changes were in keeping with cholera, isolated (heavy pure culture) from various
sites. (AN94.3313.SL)."
"Toxicity due to ""Colleague"" (SmithKline) drench ","In December last year, after the commercial release of the drench ""Colleague"", deaths were reported in
sheep shortly after drenching. Carcasses, tissues and blood samples were sent to the laboratory from 4
separate properties at Armidale, Glen Innes and Uralla. These samples were from lambs but deaths were
also recorded in adult sheep.
Property 3, 55 weaners died out of 3026 drenched. 7 ewes died out of 3555 drenched.
Property 4, A total of 39 died out of 1697 drenched with deaths occurring in each mob of 3 mobs
drenched. These mobs were :- 1010 ewes and wethers, 317 hoggets, 370 lambs.
Five lambs were post-mortemed at the lab. Their weights ranged from 9.5-16 kg. From the history there
was no evidence of overdosing, they were dosed at the recommended level of 1ml per 5kg body weight.
The earliest recorded death occurred 4-6 hours after drenching while most deaths occurred within 1-2 days
of drenching. Clinical signs observed included excess salivation, muscle fasciculation, abdominal pain,
bloat, laboured breathing, and diarrhoea. Post-mortem findings included vascular congestion of the lungs
with froth in the trachea, and vascular congestion of the small intestine. These changes were not found
17.
consistently in all carcasses. Histopathological changes were non-specific and included vascular congestion
and oedema in the lungs and vascular congestion in the liver. Two lambs from one property had evidence
of acute myocardial and hepatic necrosis.
Haematological changes included elevated haematocrit and plasma protein consistent with dehydration and
elevated muscle enzymes including CPK, LDH AND SGOT, which may have been related to the muscle
fasciculation observed. GSHPX levels were measured from single blood samples from 2 separate properties
and were 42 and 113 U/gHb respectively. Brain and blood samples were sent to Macquarie Vetnostic
Services, Leichardt 2040 for measurement of cholinesterase levels. These were :-
BRAIN Animal 1, 0.01 IU/kg
“ Animal 2, 0.008 IU/kg
“ Animal 3, 0.03 IU/kg
NORMAL BRAIN Approx.0.22 IU/kg
WHOLE BLOOD Animal 3, 0.34 IU/I
NORMAL BLOOD Approx. 0.4 IU/I
These low cholinesterase levels are consistent with organophosphate toxicity. The cholinesterase levels in
brain tissue are the most reliable measure of organophosphate toxicity. The organophosphate component,
Pyraclofos, was known before clearance to be potentially toxic under some circumstances, particularly with
liver damage.
The product was commercially released in December 1993 and by 6th January 1994 SmithKline Beecham
had identified 409 deaths Australia-wide from 96,000 doses used on 37 farms. The product has been
withdrawn from the market pending further investigations."
Lamb deaths caused by penetration of oesophageal wall by slow release capsules,"One week after the administration of ""Proftril"" slow release anthelmintic capsules to 2700 lambs, 20-30
lambs had died and another 30 were ill. Three live lambs were submitted for clinical and post-mortem
examination. Clinically they showed slobbering, nasal discharge depression and stiff gait. In all 3 lambs the
capsule had ruptured the oesophagus at the back of the pharynx with the capsule completely penetrating
and passing through the wall of the oesophagus into the neck tissue behind the oesophagus. This was
associated with a severe cellulitis and in all 3 cases food material had passed through the rupture in the
oesophageal wall into the surrounding tissue. The oesophageal walls in these 3 lambs appeared to be quite
fragile and could be easily ruptured with a finger. These lambs' weights ranged from 15-18 kg just below
the recommended cut-off of 20kg."
Thyroid insufficiency in a stillborn Anglo Nubian kid ,"Three stillborn kids from one property were sent to the laboratory for post-mortem examination. Their
weights were 3.8, 4.5 and 4.25kg respectively and the postmortem findings suggested the deaths were
attributed to difficulties at birth with the first 2 showing marked oedema of the head most likely resulting
from dystocia and the 3rd kid being a twin may have died from asphyxiation. The first kid examined had
partial alopecia along the back and the back of the neck. The thyroid glands could not be found at post-
mortem examination and serum collected from heart blood indicated hypothyroidism. From the 2
subsequent kids, both with normal hair growth, the thyroids were grossly and histologically normal. Serum
samples from the affected kid's dam, a second stillborn kid (without alopecia} and it's dam indicated
normal thyroid activity.
18.
Animal Identification Alopecia Free T4 (pica Moles/I) TSH (uU/ml)
94/433 doe No 30.3 0.06
“ kid Yes <1.3 14.6
94/589 doe No 22.3 0.24
“ kid No 12.8 <0.02
Human adult - 9.8-23.1 0.35-5.5
TSH (Thyroid stimulating hormone) is a pituitary hormone which increases in a situation of thyroid
insufficiency. Elevation of this hormone level is the best indication of insufficiency and was markedly
elevated in the affected kid. Free T4 (Thyroxine) also indicates thyroid function and in the case of the
affected kid T4 was not detectable. TSH and T4 tests were done by New England Pathology."
Suspect Pithomyces chartarum toxicity in 2 Murray Grey calves,"Two moribund Murray Grey calves were submitted alive for clinical and post-mortem examination after
another calf had been found dead, but was too decomposed for a post-mortem examination. One calf was
submitted in late March and the second in mid-April. The first calf was approximately 4 months old and the
second 2 to 3 months old and although they had been running with their mothers the stomach contents were
all plant material; grass, and small amounts of mistletoe, bracken and wattle seeds, indicating that these
calves were no longer sucking from their mothers. Both calves appeared to be small for their age.
Clinically they were recumbent, and severely jaundiced. An enlarged liver was easily palpated through the
abdominal wall.
The post-mortem findings were virtually the same for both calves:-
- severe jaundice
- enlarged brown liver
- gall bladder virtually empty
- no evidence of photosensitization, both Murray Greys with well pigmented skin.
The first calf was also anaemic (PCV 10%) and adult Haemonchus were visible in the abomasum
(EPG 3040). The second calf had been drenched (PCV 28%, but with many nucleated red blood cells in
the smear suggesting a previous anaemia) and EPG of 0. This second calf also had very pale intestinal
contents.
Both calves had neutrophilia:-
94/1165TWCC - 14.4 x 10/I
Segmented neutrophils - 11.66 x 10/I
94/1487TWCC -31.2 x 10/l
Segmented neutrophils - 26.8 x 10/I
Urinalysis was similar for both calves, positive for bilirubin but negative for urobilinogen indicating that
there was an obstruction to the flow of bile into the small intestine.
19.
Both calves had elevated serum total bilirubin and AST and the second calf also had elevated GGT.
Calf 1 Calf 2 Normal Values
Total bilirubin 187.2 umol/l 229.7 umol/l <10 umol/l
AST 293 U/I 243 U/I <150 U/I
GGT 32 U/I 267 U/I <70 U/I
Histopathological examination of livers from both calves revealed massive damage to bile ducts, and
canaliculi with ballooned and disrupted epithelial cells with bile accumulated in these structures and within
hepatocytes. There were focal areas of hepatocyte necrosis with an associated neutrophil infiltrate.
This lesion is the same as that caused by the mycotoxin, sporidesmin present in the saprophytic fungus,
Pithomyces chartarum. Sporidesmin is excreted in the bile causing inflammation of the bile ducts and
progressive obliterative cholangiolitis resulting in a slowing down of the rate of bile flow to negligible
levels over a period of about 14 days. In the second calf it was obvious from the paleness of the intestinal
contents that bile was not getting through. The urinalysis results confirmed this.
Sporidesmin toxicity has been reported only very rarely in New England and an investigation of the
paddock failed to reveal the source. One Pithomyces spore was identified on a sample of dead grass but
their was very little dead grass when the paddock was examined in late April. Perhaps there had been large
numbers of spores in March when the toxic insult occurred. The climatic conditions at that time were
suitable for the fungus to proliferate. In New Zealand the disease is common and occurs when pasture is
short and contains recently killed plant material in abundance, and under climatic conditions of warm,
humid weather, which favours a heavy infestation with the fungus. This is most likely to be a problem in
autumn when the summer has been hot and dry, the pasture well eaten back and good rains fall when the
ground is still warm."
An investigation of lamb mortality.,"As part of a one month assignment to the CASRP in Urumqi, Xinjiang Province in north-west China in
May/June this year, severe lamb mortality was investigated at the Nanshan stud farm in the foothills of the
Tienshin mountains.
Nanshan stud farm belongs to the Xinjiang Academy of Animal Science. The sheep, predominantly
Merino, are herded by the local partly-nomadic Kasak people. The 5000 breeding ewes are divided into 17
flocks cared for by separate families.
Average lamb mortality (over 9 years) was 12% but for 1994 mortality was approximately 30%. Lambing
in February and March in sub-zero temperatures, takes place indoors in crowded, contaminated and often
muddy pens. Mismothering and poor milk supplies are common, as is the level of human intervention in
feeding the lambs. At approximately 2 days of age, lambs are separated from their mothers except for
feeding twice per day.
In this environment, it was not surprising to find infectious disease. Clinical and post-mortem signs
included ulcers in the mouth, scabs on the muzzle, proliferative lesions on the gums, pneumonia, pleurisy,
pericarditis, diarrhoea, foci of suppuration and necrosis in the liver. Parapox virus was identified in scabs
by electron microscopy and Fusobacterium necrophorum was isolated from ulcerative lesions of the mouth.
The youngest lamb affected was 7 days old and the oldest over 1 month old.
20.
The sequence of events leading to this unusually high mortality was believed to be as follows :-
i An outbreak of scabby-mouth, spread rapidly because of crowding and contamination of the
environment.
ii Secondary infection, particularly with Fusobacterium necrophorum. This organism is a normal
inhabitant of the gut and is usually present in faeces. It can cause necrotic stomatitis visible as hard
circumscribed swellings covered with necrotic material. The infection may extend systemically to
the lungs, stomach, liver, kidneys or spleen.
Drunken horse grass
The plant Drunken Horse Grass (Achnatherum inebrians) occurs in the grazing pastures of northern and
western China, particularly on degraded soil. It has been observed to be toxic to sheep, goats, cattle and
horses and particularly to animals recently introduced into the area. Clinical signs include incoordination,
gangrene of the extremities during cold weather, and death.
Grass and seeds were sent to the New Zealand Agricultural Research Institute by the CASRP. It was
determined that these specimens were endophyte infected and contained high levels of ergot alkaloids.
Thus the toxicity is most like fescue poisoning. Control measures are being investigated.
The quick detection of the toxic principle exemplifies what can be achieved by cooperation between
international research groups."
Blindness in kangaroo,"Cases of blindness in kangaroos occurred in western NSW and North-western Victoria, mainly in flood
plain and sandhill country along the Murray-Darling river system. The first cases were reported from about
mid-May in NSW and about a month later in Victoria. At the height of the outbreak in July up to 10% of
Western grey kangaroos were thought to be affected, with a lower prevalence (about 1%) in Red kangaroos.
By mid-August few new cases were occurring. In most areas there was ample pasture and no unusual or
predominate weed species were present. Despite the time of year mosquito activity was noted.
Clinically the animals were simply blind, and stumbled into bushes and other objects, especially when
disturbed. Otherwise they were apparently normal, could hear, move and feed freely, and generally
maintained body condition. There were no external signs of eye disease.
Fixed material from animals collected early to mid-outbreak was received through the Wildlife Pathology
Service at Sydney University. Subsequently 10 fresh heads and one sedated blind roo were received at RVL
Menangle at the end of July. Cultures were established for viral examination, and sera stored for future
arboviral analysis. Grossly the retinas of several animals were pale, sometimes apparently detached, and
white foci 1-2mm across were seen in two. Otherwise there were no gross lesions, except for bilateral lens
opacities in one animal.
Eyes and brain from 19 animals (including 4 Red kangaroos) were examined histologically. Eyes from
acute cases had a fairly diffuse, moderate to severe, non-suppurative inflammation of the choroid, often in
association with sloughing of the retina. The retina sometimes appeared normal, sometimes had a mild to
moderate mononuclear cell infiltrate, and sometimes had focal necrosis. There was often an attached mixed
cell inflammatory exudate. Less acute cases were similar, but with less severe chordoiditis, and focal
necrosis, with mineralisation, of the rod and cone basal segments of the retina , and often diffuse atrophy
elsewhere. Chronic cases (those animals collected later in the outbreak, and in poorer condition) usually
21.
had mild to moderate multifocal non-suppurative choroiditis, and atrophy of retina. Where retinal
architecture was reasonably preserved there was an apparent reduction in the number of ganglion cells, and
the surface layer of ganglion cell axons was markedly atrophied, vacuolated or entirely absent. Lesions in
the optic nerves varied from moderate recent to severe old-standing Wallerian degeneration. Often there
was virtually no normal staining myelin left. Some nerves had some associated mild non-suppurative
multifocal inflammation. These lesions continued through the optic chiasm into the optic tracts, but white
matter elsewhere in the brain was unaffected. Several animals had a mild to moderate multifocal non-
suppurative encephalitis, characterised by focal gliosis and some perivascular cuffing. There were no
significant lesions in other tissues .
So far nothing has grown on the viral cultures, although the microscopic findings and epidemiology are
suggestive of an infectious cause. Uveitis, sometimes leading to complete blindness with optic nerve
involvement and retinal detachment, possibly associated with Borrelia burgdorferi has been found in
captive kangaroos at the St Louis zoo in the USA. Silver-stained sections from eyes from our cases were
negative for spirochaetes. The optic nerve lesions are similar to those reported for Stypandra poisoning in
livestock, but the associated choroidal and retinal changes seem unique to this outbreak.
Other causes of apparent blindness in kangaroos that were uncovered during field investigations into this
problem included “lumpy jaw” in euros at Fowler’s gap, possible polioencephalomalacia associated with
clover or medic pastures at Coonabarabran, and blindness associated with ocular discharge, corneal
opacities and emaciation from drought affected areas around Brewarrina and Bourke (possibly nutritional
deficiencies )."
Equine pyrrolizidine alkaloidosis. copper toxicity and haemoglobinuria,"A three year old stock horse trucked from Queensland to Kununurra and yarded in the local dip yards was
seen to have a sudden onset of depression, inappetence and port wine urine. The horse died shortly after.
Histologically the liver was extensively fibrosed with megalocytosis and regenerative nodules. Kidney and
liver copper levels were 4 and 3 times normal limits respectively.
Pyrrolizidine alkaloids associated with copper toxicity and intravascular haemolysis is not commonly
recorded in horses. The horse was provided access to lick blocks containing copper; this presumably had
some role in the pathogenesis of this case."
Lymphosarcoma in a dolphin,"An adult female bottlenosed dolphin was presented for post mortem examination after being found washed
up on a beach south of Perth. Necropsy revealed large multilobular masses on the diaphragmatic surface of
the liver, caudal lung and involving the mesenteric lymph nodes. There was a severe peritonitis with
numerous abdominal abscesses and extensive adhesions involving all organs in the lower abdomen. The
uterus was distended with approximately 1.5 litres of fluid. Histopathology revealed a well differentiated
lymphosarcoma involving the mesenteric lymph nodes with metastases to the liver and large intestine. The
cause of the peritonitis could not be identified. "
Trichostrongylus axei in sheep,"Trichostrongylus axei infection in sheep is extremely rare in our experience, and then only in sheep in close
association with cattle. Within the space of two weeks we had three submissions with T.axei in the
abomasum of sheep. The first case was from a departmental trial and only a few worms were seen. The
next two were case submissions from private practitioners:
Case 1 -
Hoggets scouring since early winter. Drenched and improved but scouring again in early October. No
summer drench had been given.
Total Worm Counts
A. total 4150 including 1020 T.axei, 2340 L4 and 740 immatures.
B. total 59760 including 10,515 T.axei, 43110 L4's and 6135 immatures.
Case 2 -
Two year old wethers scouring.
Total Worm counts
A. total 110 including 660 T.axei, 400 L4's and 50 immatures.
B. total 12280 including 10880 T.axei, 900 ostertagia, 200 L4's and 300 immatures.
23.
In these cases, neither property had any cattle on the place for over ten years. In case 1, the sheep came
from a closed flock where only rams were bought. In case two, sheep were bought and sold regularly. Both
properties are in wheatbelt areas which had dry summers and less than average rainfall over winter and
spring."
Osteoporosis associated with low liver copper and high iron levels in lambs,"Lameness was noticed in a flock of lambs at the Mount Barker Research Station 50km north of Albany.
Five lambs were necropsied; one had a fractured femur, all had very fragile bones and two had healing rib
fractures. Apart from this, they all had score 2 footrot lesions and one had focal areas of myocardial
necrosis. All had very low plasma glutathione peroxidase levels and liver selenium levels. All had low liver
copper levels (3,5,6,7,and 7mg/kg) and high liver iron levels (2421-4120mg/kg). Rib ash content varied
from 45.2-49.2%, rib Phosphorous 8.2-8.8% and rib Calcium 17-18.5%. Pasture copper levels were within
our normal ranges (5.8-6.9mg/kg) and molybdenum (1.5-1.6mg/kg) and sulphur (0.34-0.32%db) levels
were also judged to be OK. Pasture iron levels appeared high at 2900-3000mg/kg, in fact so high we are
wondering if the samples were contaminated somehow.
Possible causes of osteoporosis include poor nutrition and milk intake but the ewes in this case were
reported to be in good condition and this must be one of the few parts of the country enjoying a good
season. Heavy intestinal parasitism is also reported to cause osteoporosis and these lambs had reasonably
high parasite burdens but not more than other flocks in the district with none of these bony problems.
Could the low copper levels in these lambs have been induced by high iron intake? Experimentally high
iron intake in cattle can induce low liver copper levels but does not result in lesions of copper deficiency .
Could this be a case of copper deficiency induced osteoporosis? It seems unlikely as no other signs of
copper deficiency were seen but otherwise, we haven’t got a diagnosis."
Septicaemic pasteurellosis in pet rabbits,"Two large white rabbits were necropsied. They were the 3rd and 4th rabbits to die in five days from a group
of six. . There were neither recent introductions nor any history of respiratory disease. The owner had found
the first two dead and the third showing signs of “stiffness with its eyes rolling back in its head”. The fourth
rabbit was also found dead. At necropsy both were extremely fat. The only lesions were multiple pinpoint
white foci distributed throughout the liver. Histologically, these were focal areas of necrosis surrounded by
polymorph infiltrates. Bacterial colonies could be seen in the sinusoids. We grew a pure growth of
Pasteurella multocida from liver, lung and kidney of one rabbit and the liver of the other. In a 1993 report
on diseases in commercial rabbits in Western Australia, Trott cites Pasteurella multocida as a cause of
upper and lower respiratory tract infections, body abscesses, middle ear infections and mastitis/metritis."
Avulsion of Femoral and Humeral Tuberosities in Chickens,"Four caged layer hens were submitted to the laboratory for post mortem examination. There had been a
recent drop in production by about 8% and a 20% increase in the prevalence of thin shells. A similar type
of problem earlier in the year apparently had responded favourably to vitamin/mineral supplementation (no
details given). Some hens were described as having ""the wing joints appear necrotic"".
On examination in the laboratory the hens were in excellent condition and had extensive purplish and green
discolouration of tissues around the scapulo-humeral and femoro-tibial joints, a consequence of
periarticular haemorrhage and subsequent degradation of extravasated blood. At necropsy the haemorrhage
was found to be due to avulsion of the proximal tuberosities of the humeri and lateral condyles of the
femurs, points for insertion of the great flight muscles and massive thigh muscles, respectively. In one case
the entire distal end of the femur had separated from the shaft.
The history of increased prevalence of thin-shelled eggs and the multiple skeletal fractures point fairly
compellingly to a vitamin/mineral deficiency or imbalance. Alas, we did not get any follow-up on
epidemiological details or nutritional history."
Johne's Disease in the Northern Territory ,"A presumptive diagnosis of Johne's Disease (JD), in a cow from a dairy in Katherine, was arrived at after
serological and histopathological examinations. The animal’s serum was reactive in both the CFT and
ELISA (CSL) and the intestinal lesion was typical with many acid fast bacilli present. The diagnosis was
confirmed when VIAS reported a positive radiometric culture of post mortem tissues. The post mortem had
been performed by a local private practitioner.
The cow originally came from either Victoria or New South Wales. The NT has now lost its JD-free status
and CFT testing for JD of breeders destined for export has been re-introduced. In a mob of 417 breeders for
export from a station in the Tennant Creek district 48 (11.5%) reacted in the CFT. Three of these (strong
reactors in both the CFT and ELISA) were slaughtered. There were no gross or histological lesions
suggestive of JD. Culture [now performed at the Berrimah Veterinary Laboratory (BVL)] of faeces and
tissues is still in progress. The cattle had been grazing the ""lakes paddock"" and it is tempting to speculate
that the serological tests were detecting antibodies to avian mycobacteria. Trace forward from the
Katherine dairy has so far failed to detect spread of the disease"
Disseminated Haemangiosarcoma in a Dog,"It is nice to find textbook (Moulton in this case) examples of disease when performing a post mortem
examination in front of veterinary students on work experience.
Necropsy of a dog is a rare occurrence at BVL. On this occasion the owner was worried because an
apparently healthy dog was found dead in the morning. The animal was in good nutritional condition. Six
red tumours from mm to cm size were detected in the skin. In-situ examination revealed haemopericardium
and red tumours in many organs and tissues.
25.
The spleen had multiple tumours from mm to 8cm in diameter. The mesentery was affected and the
tumours were mainly located near the intestines. The intestinal wall itself was also affected. There were
multiple small (mm to cm) tumours in the lung and there was one large (8cm) tumour in the wall of the left
atrium. The epicardium overlying this tumour appeared torn suggesting a rupture causing the
haemopericardium which was considered to be the immediate cause of death. There were a few heartworms
in the right pulmonary artery.
Microscopic examination revealed that the tumours were indeed haemangiosarcomas. In many tissues there
was involvement of blood vessels suggesting haematogenous spread."
Crocodile Crawlers ,"A wild saltwater crocodile (Crocodylus porosus) had been kept on a commercial crocodile farm, but had
not thrived. During slaughter, worms were reported to have crawled out of its mouth, much to the disgust of
the female packer. An examination of the worms showed that they were Geoeltascaris australiensis.
Further examination of the stomach contents revealed about 20 adult nematodes.
In two other recent submissions of healthy saltwater crocodiles from the wild, Geoeltascaris were found in
the stomach and appeared to be the cause of deep ulcerations in the stomach wall. Ulcers were up to 4cm in
diameter and appeared to contain a plug of material which was composed of nematodes, cellular debris and
exudate. Up to 50 nematodes were found in one plug. Plugs of similar material were also free in the
stomach contents. The effects of these nematodes on the health of the crocodile are not clear."
Arbovirus Monitoring in the Northern Territory in 1994 ,"Weekly blood sampling for virus isolation was made at Coastal Plains Research Station throughout the
year. The sentinel herd was changed in July to increase the chance of virus isolation during the early wet
season and this has proved successful, with virus activity being detected following the first rains in
October.
Bluetongue serotype 1 was isolated from January to June and Bluetongue serotype 21 in May to June. This
is the first isolation of BLU 21 since 1984. EHD 5 and EHD 1 were also isolated during this period.
Serology on the other sentinel herds confirmed that Bluetongue activity was restricted to the top part of the
Northern Territory.
Apart form Bovine Ephemeral Fever, arbovrius activity was very low throughout the NT due to drought
conditions. There was widespread BEF activity throughout the NT during the wet season. Seroconversions
occurred at all sentinel sites except Alice Springs, with clinical cases reported from as far south as Tennant
Creek and the Barkly Tablelands. One group of export steers had 150 head rejected for export due to BEF.
This year an entomology program has been run in association with sentinel herds. None of the important
Bluetongue vectors were found at Alice Springs or Victoria River Research Station during the year.
Culicoides brevitarsis was only at Katherine with C. brevitarsus and C. actoni at Douglas Daly Research
Farm. C. brevitarsus, C. actoniand C. wadai were identified at Berrimah, while all vectors were present at
the Coastal Plains in all months with C. fulvus the dominant vector species during the wet season and C.
brevitarsus during the dry season."